,Name,Critic_Score,User_Score
0,Wii Sports,7.6,8
2,Mario Kart Wii,8.2,8.3
3,Wii Sports Resort,8.0,8
6,New Super Mario Bros.,8.9,8.5
7,Wii Play,5.8,6.6
8,New Super Mario Bros. Wii,8.7,8.4
11,Mario Kart DS,9.1,8.6
13,Wii Fit,8.0,7.7
14,Kinect Adventures!,6.1,6.3
15,Wii Fit Plus,8.0,7.4
16,Grand Theft Auto V,9.7,8.2
17,Grand Theft Auto: San Andreas,9.5,9
19,Brain Age: Train Your Brain in Minutes a Day,7.7,7.9
23,Grand Theft Auto V,9.7,8.1
24,Grand Theft Auto: Vice City,9.5,8.7
26,Brain Age 2: More Training in Minutes a Day,7.7,7.1
28,Gran Turismo 3: A-Spec,9.5,8.4
29,Call of Duty: Modern Warfare 3,8.8,3.4
32,Call of Duty: Black Ops,8.7,6.3
34,Call of Duty: Black Ops II,8.3,5.3
35,Call of Duty: Black Ops II,8.3,4.8
36,Call of Duty: Modern Warfare 2,9.4,6.3
37,Call of Duty: Modern Warfare 3,8.8,3.2
38,Grand Theft Auto III,9.7,8.5
39,Super Smash Bros. Brawl,9.3,8.9
40,Mario Kart 7,8.5,8.2
41,Call of Duty: Black Ops,8.8,6.4
42,Grand Theft Auto V,9.7,8.3
43,Animal Crossing: Wild World,8.6,8.7
44,Halo 3,9.4,7.8
48,Gran Turismo 4,8.9,8.5
49,Super Mario Galaxy,9.7,8.9
51,Grand Theft Auto IV,9.8,7.9
52,Gran Turismo,9.6,8.7
53,Super Mario 3D Land,9.0,8.4
54,Gran Turismo 5,8.4,7.5
55,Call of Duty: Modern Warfare 2,9.4,6.3
57,Grand Theft Auto IV,9.8,7.5
60,Call of Duty: Ghosts,7.3,2.6
61,Just Dance 3,7.4,7.8
62,New Super Mario Bros. 2,7.8,7.2
64,Halo: Reach,9.1,7.9
65,Final Fantasy VII,9.2,9.2
66,Halo 4,8.7,7
67,Gran Turismo 2,9.3,9
68,Just Dance 2,7.4,7.3
69,Call of Duty: Ghosts,7.1,2.6
70,Call of Duty 4: Modern Warfare,9.4,8.4
73,Animal Crossing: New Leaf,8.8,8.7
74,Mario Party DS,7.2,7.8
75,The Elder Scrolls V: Skyrim,9.6,8.4
77,FIFA 16,8.2,4.3
78,Halo 2,9.5,8.2
79,Wii Party,6.8,7.4
80,Mario Party 8,6.2,6.3
81,FIFA Soccer 13,8.8,6.6
84,Final Fantasy X,9.2,8.7
85,The Sims 3,8.6,7.6
88,Final Fantasy VIII,9.0,8.6
90,Pokémon Platinum Version,8.3,8.5
91,Grand Theft Auto: Liberty City Stories,8.8,7.6
92,Call of Duty: Advanced Warfare,8.3,5.7
94,FIFA 17,8.5,5
97,Super Mario Galaxy 2,9.7,9.1
100,Call of Duty: World at War,8.4,7.6
101,Battlefield 3,8.4,7.4
102,Need for Speed Underground,8.5,8.6
103,Just Dance,4.9,8
104,Battlefield 3,8.5,7.5
105,Fallout 4,8.7,6.5
106,Tekken 3,9.6,9.1
107,The Legend of Zelda: Twilight Princess,9.5,9
109,Crash Bandicoot 3: Warped,9.1,8.9
110,Mario Kart 8,8.8,9.1
111,Super Smash Bros. Melee,9.2,9.1
113,Need for Speed Underground 2,8.2,8.6
114,Medal of Honor: Frontline,8.8,8.5
116,Just Dance 4,7.4,7.3
117,Gears of War 2,9.3,7.7
118,Uncharted 3: Drake's Deception,9.2,8.3
120,Call of Duty 4: Modern Warfare,9.4,8.4
121,Uncharted 2: Among Thieves,9.6,8.8
123,Big Brain Academy,7.4,7.4
125,Red Dead Redemption,9.5,8.8
126,FIFA 14,8.6,4.3
127,Assassin's Creed III,8.5,6.9
128,Donkey Kong Country Returns,8.7,8.6
129,Halo: Combat Evolved,9.7,8.6
130,The Elder Scrolls V: Skyrim,9.2,6.4
131,Pokémon Emerald Version,7.6,9
132,Kingdom Hearts,8.5,8.8
134,Halo 3: ODST,8.3,7.1
135,Red Dead Redemption,9.5,9
136,Super Mario Sunshine,9.2,8.6
138,World of Warcraft,9.3,7.3
139,Driver,8.7,8.1
140,Gears of War 3,9.1,7.8
141,Kinect Sports,7.3,7.4
142,Gears of War,9.4,8.3
143,FIFA 15,8.2,5.7
144,Metal Gear Solid 2: Sons of Liberty,9.6,8.7
146,Metal Gear Solid,9.4,9.4
147,Metal Gear Solid 4: Guns of the Patriots,9.4,8.7
148,Final Fantasy XII,9.2,7.6
149,The Last of Us,9.5,9.1
150,LittleBigPlanet,9.5,6.8
151,Resident Evil 2,8.9,9.2
152,Dragon Quest IX: Sentinels of the Starry Skies,8.7,8.8
153,Tekken 2,8.9,8.9
154,Destiny,7.6,6.1
155,LEGO Star Wars: The Complete Saga,8.0,8.9
156,Cooking Mama,6.7,7.2
159,Assassin's Creed II,9.1,8.6
160,Assassin's Creed,8.1,7.7
161,Forza Motorsport 3,9.2,8
162,Super Mario Advance,8.4,7.8
163,Monster Hunter Freedom Unite,8.1,8.7
164,Batman: Arkham City,9.6,8.6
165,Grand Theft Auto V,9.7,7.9
166,Mario Kart: Super Circuit,9.3,8.3
169,Crash Bandicoot: The Wrath of Cortex,6.6,7.1
170,Call of Duty: World at War,8.5,7.6
171,Uncharted 4: A Thief's End,9.3,7.9
173,Final Fantasy XIII,8.3,7.3
175,Final Fantasy IX,9.4,8.9
176,Assassin's Creed III,8.4,6.7
177,Final Fantasy X-2,8.5,6.6
179,Call of Duty: Advanced Warfare,8.1,5.4
